FirstName LastName POS 	G 	AB 	R 	H 	2B 	3B 	HR 	RBI 	TB 	BB 	SO 	SB 	CS 	OBP 	SLG 	AVG 	OPS 	E 
Johnny Field	RF	11	40	9	14	4	0	0	4	18	4	7	1	1	.422	.450	.350	.872	0
Melky Cabrera	OF	19	78	7	25	6	1	0	8	33	2	10	2	0	.338	.423	.321	.761	0
Gio Urshela	3B	28	101	11	30	5	0	0	11	35	9	17	0	0	.355	.347	.297	.701	1
Greg Allen	CF	41	152	27	44	12	0	1	10	59	19	41	12	5	.394	.388	.289	.783	2
Yandy Diaz	3B	83	292	43	83	21	0	2	28	110	64	66	2	3	.414	.377	.284	.791	5
Brandon Barnes	CF	95	357	53	101	31	2	10	60	166	31	118	10	4	.349	.465	.283	.814	5
Drew Maggi	3B	43	157	24	44	9	1	0	12	55	14	37	9	4	.341	.350	.280	.691	5
Todd Hankins	CF	62	157	20	44	8	1	1	9	57	12	49	11	6	.333	.363	.280	.696	3
Francisco Mejia	C	79	305	32	85	22	1	7	45	130	18	58	0	0	.328	.426	.279	.755	0
Lonnie Chisenhall	OF	6	19	5	5	2	0	1	2	10	4	5	0	0	.391	.526	.263	.918	0
Yu Chang	SS	92	334	43	86	25	2	9	46	142	32	103	4	3	.332	.425	.257	.757	9
Mike Papi	RF	64	188	32	48	15	0	5	20	78	37	58	0	1	.383	.415	.255	.798	1
Eric Haase	C	89	323	45	80	19	3	14	58	147	27	99	2	0	.305	.455	.248	.760	5
Adam Rosales	2B	78	246	36	57	12	1	12	40	107	27	59	2	2	.314	.435	.232	.749	3
Connor Marabell	RF	3	13	1	3	1	0	1	1	7	0	2	0	0	.231	.538	.231	.769	0
Jon Berti	2B	29	68	11	15	1	0	0	4	16	9	16	8	1	.325	.235	.221	.560	0
Rob Brantly	C	59	193	16	41	11	0	1	19	55	7	40	0	0	.248	.285	.212	.533	0
Eric Stamets	SS	51	164	14	34	7	1	4	13	55	12	34	2	2	.274	.335	.207	.609	4
Nellie Rodriguez	1B	76	240	24	49	11	0	10	39	90	23	95	0	0	.277	.375	.204	.652	5
Daniel Salters	C	2	5	1	1	0	0	0	0	1	1	1	0	0	.333	.200	.200	.533	0
Dorssys Paulino	LF	4	11	2	2	1	0	0	0	3	4	5	0	0	.400	.273	.182	.673	0
Sam Haggerty	3B	7	17	3	3	0	0	0	2	3	2	6	2	0	.300	.176	.176	.476	1
Richie Shaffer	LF	32	116	9	19	5	0	4	13	36	8	43	0	0	.216	.310	.164	.526	3
Bradley Zimmer	CF	6	27	1	4	0	0	1	1	7	1	11	1	0	.179	.259	.148	.438	0
Tyler Naquin	OF	5	16	1	2	1	0	0	0	3	0	5	0	0	.125	.188	.125	.313	0
Brandon Guyer	RF	9	32	6	4	0	0	2	2	10	1	4	0	0	.243	.313	.125	.556	0
Mike Napoli	1B	8	24	3	1	0	0	1	4	4	7	11	0	0	.258	.167	.042	.425	1
Tre Gantt	LF	1	1	0	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	.000	0
